ID,MEDIA,PE,Posto da MEDIA,Posto PE
1,0.3,29.0,8,22
2,2.0,23.0,16,10
3,5.8,81.0,30,38
4,8.0,19.0,36,1
5,8.0,77.0,35,34
6,3.3,19.0,21,2
7,7.6,23.0,34,12
8,6.3,90.0,31,41
9,5.0,23.0,28,9
10,0.0,19.0,2,3
11,4.4,29.0,27,23
12,9.6,81.0,41,37
13,0.0,26.0,1,17
14,5.5,74.0,29,33
15,3.4,68.0,23,30
16,9.3,90.0,40,40
17,2.5,19.0,17,4
18,1.8,26.0,14,16
19,6.6,71.0,32,31
20,3.4,19.0,24,7
21,8.3,74.0,38,32
22,0.0,23.0,4,11
23,3.3,77.0,22,35
24,2.8,19.0,19,6
25,0.7,32.0,10,25
26,0.0,58.0,3,29
27,0.8,32.0,12,24
28,4.3,32.0,26,26
29,3.5,26.0,25,18
30,0.8,32.0,11,27
31,0.4,29.0,9,21
32,0.0,19.0,5,5
33,0.0,29.0,6,19
34,0.0,29.0,7,20
35,7.6,19.0,33,8
36,2.5,77.0,18,36
37,9.1,87.0,39,39
38,2.0,23.0,15,15
39,8.2,52.0,37,28
40,3.3,23.0,20,14
41,1.1,23.0,13,13
