ID,MEDIA,PE
1,0.3,"29,00"
2,2.0,"23,00"
3,"5,8","81,00"
4,8,"19,00"
5,8,"77,00"
6,3.3,"19,00"
7,7.6,"23,00"
8,"6,3","90,00"
9,5.0,"23,00"
10,0,"19,00"
11,4.4,"29,00"
12,9.6,"81,00"
13,0,"26,00"
14,5.5,"74,00"
15,3.4,"68,00"
16,9.3,"90,00"
17,2.5,"19,00"
18,1.8,"26,00"
19,6.6,"71,00"
20,3.4,"19,00"
21,8.3,"74,00"
22,0,"23,00"
23,3.3,"77,00"
24,2.8,"19,00"
25,0.7,"32,00"
26,0,"58,00"
27,0.8,"32,00"
28,4.3,"32,00"
29,3.5,"26,00"
30,0.8,"32,00"
31,0.4,"29,00"
32,0,"19,00"
33,0,"29,00"
34,0,"29,00"
35,7.6,"19,00"
36,2.5,"77,00"
37,9.1,"87,00"
38,2.0,"23,00"
39,8.2,"52,00"
40,3.3,"23,00"
41,1.1,"23,00"
