ID,MEDIA,PE
1,1.0,50.00
2,1.2,0.00
3,1.2,26.67
4,8.7,50.00
5,9.2,83.33
6,10,50.00
7,8.9,10.00
8,9.1,80.00
9,8.8,13.33
10,8.9,73.33
11,5.0,56.67
12,5.6,50.00
13,3.1,3.33
14,0.7,13.33
15,5.4,50.00
16,9.4,73.33
17,9.3,76.67
18,7.3,80.00
19,8.0,3.33
20,9.0,26.67
21,2.9,30.00
22,7.3,10.00
23,1.5,60.00
24,5.1,33.33
25,7.7,66.67
26,7.0,23.33
27,8.4,3.33
28,7.3,80.00
29,9.8,43.33
30,1.3,3.33
31,4.7,53.33
32,5.7,66.67
33,5.0,16.67
34,10,93.33
35,0,0.00
36,5.0,43.33
37,0.8,13.33
38,7.0,10.00
39,8.9,0.00
40,7.5,70.00
41,4.0,86.67
