ID,MEDIA,PE
1,5.4,"64,00"
2,9.4,"96,00"
3,5.7,"28,00"
4,5.7,"0,00"
5,9.2,"68,00"
6,8.6,"100,00"
7,8.3,"48,00"
8,8.7,"76,00"
9,7.2,"56,00"
10,6.0,"80,00"
11,5.0,"80,00"
12,10,"92,00"
13,7.7,"28,00"
14,5.7,"36,00"
15,7.4,"20,00"
16,7.0,"28,00"
17,2.6,"80,00"
18,8.7,"72,00"
19,9.3,"52,00"
20,5.2,"44,00"
21,7.3,"92,00"
22,8.4,"80,00"
23,5.3,"76,00"
24,7.4,"80,00"
25,5.0,"68,00"
26,9.0,"32,00"
27,8.0,"92,00"
28,7.1,"32,00"
29,10,"88,00"
30,5.4,"12,00"
31,7.0,"84,00"
32,8.6,"88,00"
33,8.5,"100,00"
34,7.7,"100,00"
35,9.1,"60,00"
36,3.1,"56,00"
