ID,MEDIA,PE
1,0.3,29.0
2,2.0,23.0
3,5.8,81.0
4,8.0,19.0
5,8.0,77.0
6,3.3,19.0
7,7.6,23.0
8,6.3,90.0
9,5.0,23.0
10,0.0,19.0
11,4.4,29.0
12,9.6,81.0
13,0.0,26.0
14,5.5,74.0
15,3.4,68.0
16,9.3,90.0
17,2.5,19.0
18,1.8,26.0
19,6.6,71.0
20,3.4,19.0
21,8.3,74.0
22,0.0,23.0
23,3.3,77.0
24,2.8,19.0
25,0.7,32.0
26,0.0,58.0
27,0.8,32.0
28,4.3,32.0
29,3.5,26.0
30,0.8,32.0
31,0.4,29.0
32,0.0,19.0
33,0.0,29.0
34,0.0,29.0
35,7.6,19.0
36,2.5,77.0
37,9.1,87.0
38,2.0,23.0
39,8.2,52.0
40,3.3,23.0
41,1.1,23.0
1,1.0,50.00
2,1.2,0.00
3,1.2,26.67
4,8.7,50.00
5,9.2,83.33
6,10,50.00
7,8.9,10.00
8,9.1,80.00
9,8.8,13.33
10,8.9,73.33
11,5.0,56.67
12,5.6,50.00
13,3.1,3.33
14,0.7,13.33
15,5.4,50.00
16,9.4,73.33
17,9.3,76.67
18,7.3,80.00
19,8.0,3.33
20,9.0,26.67
21,2.9,30.00
22,7.3,10.00
23,1.5,60.00
24,5.1,33.33
25,7.7,66.67
26,7.0,23.33
27,8.4,3.33
28,7.3,80.00
29,9.8,43.33
30,1.3,3.33
31,4.7,53.33
32,5.7,66.67
33,5.0,16.67
34,10,93.33
35,0,0.00
36,5.0,43.33
37,0.8,13.33
38,7.0,10.00
39,8.9,0.00
40,7.5,70.00
41,4.0,86.67
1,5.4,64.0
2,9.4,96.0
3,5.7,28.0
4,5.7,0.0
5,9.2,68.0
6,8.6,100.0
7,8.3,48.0
8,8.7,76.0
9,7.2,56.0
10,6.0,80.0
11,5.0,80.0
12,10.0,92.0
13,7.7,28.0
14,5.7,36.0
15,7.4,20.0
16,7.0,28.0
17,2.6,80.0
18,8.7,72.0
19,9.3,52.0
20,5.2,44.0
21,7.3,92.0
22,8.4,80.0
23,5.3,76.0
24,7.4,80.0
25,5.0,68.0
26,9.0,32.0
27,8.0,92.0
28,7.1,32.0
29,10.0,88.0
30,5.4,12.0
31,7.0,84.0
32,8.6,88.0
33,8.5,100.0
34,7.7,100.0
35,9.1,60.0
36,3.1,56.0
1,7.3,39.29
2,8.3,57.14
3,1.1,25.0
4,5.0,3.57
5,5.0,14.29
6,2.0,32.14
7,6.2,35.71
8,7.0,14.29
9,7.6,35.71
10,0.0,0.0
11,2.6,21.43
12,2.7,39.29
13,7.0,7.14
14,1.5,0.0
15,7.0,39.29
16,5.0,0.0
17,7.0,25.0
18,0.6,21.43
19,8.9,0.0
20,8.1,42.86
21,7.0,71.43
22,8.3,3.57
23,1.2,3.57
24,7.0,39.29
25,5.8,3.57
26,2.7,50.0
27,7.0,25.0
28,7.0,25.0
29,1.7,0.0
30,7.8,46.43
31,3.0,25.0
32,3.5,39.29
33,7.0,3.57

