ID,MEDIA,PE
1,2.1,40.0
2,2.6,46.7
3,0.3,20.0
4,5.0,73.3
5,7.8,66.7
6,2.7,66.7
7,2.8,46.7
8,5.0,73.3
9,5.0,60.0
10,0.6,20.0
11,0.2,26.6
12,9.2,80.0
13,1.0,46.7
14,2.1,86.7
15,3.6,60.0
16,2.0,40.0
17,9.0,93.3
18,8.7,100.0
19,0.1,6.7
20,7.0,66.7
21,2.9,80.0
22,3.6,80.0
23,4.2,73.3
24,3.1,80.0
25,3.6,93.3
26,0.6,20.0
27,7.1,26.7
28,7.1,61.54
29,6.6,76.92
30,5,7.69
31,6.6,7.69
32,7.9,7.69
33,8,92.31
34,7.6,53.85
35,4,15.38
36,3.3,23.08
37,7.6,38.46
38,7,92.31
39,6,69.23
40,7.2,92.31
41,9.1,92.31
42,4.2,76.92
45,5,76.92
46,5,69.23
47,5.4,84.62
48,7.4,69.23
49,2.5,7.69
50,6.1,15.38
51,7,15.38
52,3.4,15.38
53,5.1,46.15
54,5,61.54
55,3.2,38.46
56,6.2,7.69
57,6.8,76.92
58,6.3,61.54
59,8.8,46.15
60,0,30.77
